time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_loss,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
500,257.0,200.0,5.50222635269165,100,272,1,1.160375952720642,-0.19996821880340576,0.0007,99,-7.738898754119873,,
1000,257.0,203.33333333333334,-0.23193848133087158,200,278,3,0.0011190861696377397,-0.003308534622192383,0.0007,199,-7.736205577850342,,
1500,257.0,149.4,2.0557103157043457,300,280,5,0.47823914885520935,-0.7626559734344482,0.0007,299,-7.730268955230713,,
2000,257.0,147.28571428571428,-0.12662366032600403,400,279,7,0.000346555927535519,-0.014772176742553711,0.0007,399,-7.728641033172607,,
2500,,,-0.010158414952456951,,,,2.147465011148597e-06,0.1734207272529602,0.0007,499,-7.720080852508545,257.0,0.0
2500,257.0,131.0,,500,220,11,,,,,,,
3000,257.0,140.5,-13.902922630310059,600,228,13,7.825255870819092,-0.11126291751861572,0.0007,599,-7.7154459953308105,,
3500,257.0,165.66666666666666,-0.37413349747657776,700,235,14,0.002930888906121254,-0.7427711486816406,0.0007,699,-7.702842712402344,,
4000,257.0,191.64285714285714,-0.03909667953848839,800,240,16,3.0118142603896558e-05,0.22680354118347168,0.0007,799,-7.718294620513916,,
4500,257.0,204.875,-0.3286573588848114,900,243,18,0.0021792941261082888,0.039762914180755615,0.0007,899,-7.713392734527588,,
5000,,,-0.007234978023916483,,,,1.085700773728604e-06,0.04673951864242554,0.0007,999,-7.7085161209106445,257.0,0.0
5000,257.0,215.05555555555554,,1000,204,24,,,,,,,
5500,257.0,223.26315789473685,-0.1207369938492775,1100,209,26,0.00030452589271590114,0.011793792247772217,0.0007,1099,-7.709447383880615,,
6000,257.0,217.23809523809524,-1.3397961854934692,1200,214,27,0.1165638193488121,-297.00543212890625,0.0007,1199,-7.7029128074646,,
6500,257.0,229.65217391304347,-10.695291519165039,1300,218,29,9.105284690856934,-95971.8984375,0.0007,1299,-7.692176818847656,,
